gene_name	chr	gene_start	gene_end	strand	TSS_start	TSS_end
ABCC11	chr16	48165773	48247568	-	48247518	48247568
ABCC12	chr16	48080882	48156018	-	48091188	48091238
ABCC2	chr10	99782640	99852594	+	99792288	99792338
ABCC3	chr17	50634777	50692253	+	50674215	50674265
ABCC4	chr13	95019835	95301475	-	95301396	95301446
ABCC5	chr3	183919934	184017939	-	184017866	184017939
ABCC6	chr16	16149565	16223522	-	16223472	16223522
ABCC8	chr11	17392498	17476894	-	17476728	17476845
ABCC9	chr12	21797389	21942543	-	21941352	21941402
ABCD2	chr12	39550033	39619803	-	39619701	39619751
ABCD4	chr14	74285269	74303055	-	74302919	74302976
ABCE1	chr4	145098288	145129524	+	145121319	145121369
ABCF1	chr6	30571393	30597179	+	30589428	30589478
ABCF2	chr7	151211484	151227205	-	151226985	151227035
ABCF3	chr3	184186095	184194012	+	184186159	184186210
ABCG1	chr21	42199689	42297244	+	42199811	42199849
ABCG2	chr4	88090150	88231628	-	88158621	88158912
ABCG4	chr11	119149052	119162653	+	119155629	119155679
ABCG5	chr2	43812472	43838865	-	43838815	43838865
ABCG8	chr2	43831942	43882988	+	43838963	43839013
ABHD1	chr2	27123789	27130812	+	27123788	27123885
ABHD10	chr3	111979010	111993368	+	111979009	111979059
ABHD11	chr7	73736094	73738852	-	73738460	73738510
ABHD12	chr20	25294742	25390835	-	25309448	25390753
ABHD12B	chr14	50872053	50904970	+	50893739	50893758
ABHD13	chr13	108218392	108234243	+	108218378	108218428
ABHD14A	chr3	51971426	51981196	+	51975101	51975152
ABHD14A-ACY1	chr3	51974706	51989183	+	51975049	51975099
ABHD14B	chr3	51968510	51983409	-	51974016	51974066
ABHD15	chr17	29560547	29567037	-	29567087	29567137
ABHD16A	chr6	31726403	31742871	-	31688253	31688321
ABHD16B	chr20	63861498	63862988	+	63861497	63861547
ABHD17A	chr19	1876810	1885496	-	1883750	1883800
ABHD17B	chr9	71862452	71911193	-	71910881	71910931
ABHD17C	chr15	80679684	80755621	+	80704583	80704633
ABHD18	chr4	127965306	128039953	+	127965473	127965523
ABHD2	chr15	89087459	89202355	+	89088429	89088479
ABHD3	chr18	21650901	21704780	-	21704755	21704805
ABHD4	chr14	22598290	22612963	+	22598289	22598329
ABHD5	chr3	43690108	43734371	+	43717667	43717717
ABHD6	chr3	58237532	58295693	+	58237531	58237581
ABHD8	chr19	17292131	17310236	-	17310186	17310236
ABI1	chr10	26746593	26861087	-	26860980	26861030
ABI2	chr2	203328280	203447728	+	203328457	203328507
ABI3	chr17	49210411	49223225	+	49219562	49219612
ABI3BP	chr3	100749156	100993515	-	100930944	100930994
ABITRAM	chr9	108934400	108950744	+	108934539	108934565
ABL1	chr9	130713016	130887675	+	130713945	130714029
ABLIM1	chr10	114431112	114768061	-	114468215	114468265
ABLIM2	chr4	7965310	8158832	-	8158782	8158832
ABLIM3	chr5	149141483	149260542	+	149243347	149243397
ABO	chr9	133255585	133275349	-	133275164	133275214
ABR	chr17	1003519	1192547	-	1010746	1010796
ABRA	chr8	106759483	106770244	-	106770195	106770245
ABRACL	chr6	139028745	139043302	+	139028841	139028875
ABRAXAS1	chr4	83459517	83523348	-	83523298	83523348
ABRAXAS2	chr10	124801819	124836667	+	124801784	124801834
ABT1	chr6	26596953	26600739	+	26596951	26597001
ABTB1	chr3	127672935	127680926	+	127672939	127672989
ABTB2	chr11	34150987	34358010	-	34242495	34242545
ACAA1	chr3	38103129	38137242	-	38137087	38137137
ACAA2	chr18	49782164	49813953	-	49813887	49813937
ACACA	chr17	37086456	37411442	-	37225521	37225571
ACACB	chr12	109116587	109268226	+	109232668	109232718
ACAD10	chr12	111686053	111757107	+	111686055	111686105
ACAD11	chr3	132558138	132660082	-	132620378	132620406
ACAD8	chr11	134253548	134265855	+	134253547	134253597
ACAD9	chr3	128879596	128924003	+	128879603	128879669
ACADL	chr2	210187126	210225447	-	210225397	210225447
ACADS	chr12	120725774	120740008	+	120725860	120725910
ACADSB	chr10	123008979	123058290	+	123027533	123027583
ACADVL	chr17	7217125	7225266	+	7223924	7223974
ACAN	chr15	88803436	88875353	+	88803473	88803523
ACAP1	chr17	7336529	7351477	+	7350389	7350430
ACAP2	chr3	195274745	195443044	-	195442805	195442905
ACAT1	chr11	108116695	108147603	+	108146120	108146170
ACAT2	chr6	159762045	159779112	+	159762494	159762544
ACBD4	chr17	45132600	45144181	+	45135646	45135696
ACBD5	chr10	27168135	27243046	-	27240829	27240879
ACBD7	chr10	15075475	15088776	-	15088726	15088776
ACCS	chr11	44065925	44084237	+	44066267	44066317
ACCSL	chr11	44047981	44059977	+	44047980	44048030
ACD	chr16	67657512	67660815	-	67660231	67660281
ACE	chr17	63477061	63498380	+	63477060	63477120
ACER1	chr19	6306142	6333612	-	6333579	6333629
ACER2	chr9	19409009	19452505	+	19409058	19409108
ACER3	chr11	76860859	77026797	+	76860920	76860970
ACHE	chr7	100889994	100896974	-	100896082	100896228
ACIN1	chr14	23058564	23095614	-	23071567	23071617
ACKR2	chr3	42804752	42887974	+	42809471	42809521
ACKR3	chr2	236567787	236582354	+	236567786	236569690
ACKR4	chr3	132597270	132618967	+	132597236	132597286
ACLY	chr17	41866917	41930542	-	41870669	41870719
ACMSD	chr2	134838616	134902034	+	134838617	134838667
ACO1	chr9	32384603	32454769	+	32384619	32384669
ACO2	chr22	41447830	41529273	+	41469124	41469174
ACOD1	chr13	76948511	76958638	+	76948496	76948546
ACOT1	chr14	73537143	73543796	+	73537113	73537163
ACOT12	chr5	81329996	81394179	-	81344159	81344203
ACOT13	chr6	24667035	24705065	+	24667034	24667084
ACOT2	chr14	73567620	73575658	+	73574303	73574353
ACOT4	chr14	73591873	73595766	+	73591705	73591755
ACOT6	chr14	73610945	73619888	+	73610944	73610994
ACOT8	chr20	45841721	45857405	-	45857356	45857406
ACOX1	chr17	75941507	75979177	-	75955565	75955589
ACOX2	chr3	58505136	58537283	-	58534946	58534979
ACOX3	chr4	8366282	8440723	-	8415805	8415855
ACOXL	chr2	110732539	111120610	+	110799039	110799089
ACP1	chr2	264140	278283	+	264139	264189
ACP2	chr11	47239302	47248906	-	47248790	47248840
ACP3	chr3	132317369	132368298	+	132337351	132337401
ACP4	chr19	50790415	50795219	+	50790414	50790464
ACP5	chr19	11574660	11579008	-	11578958	11579008
ACP7	chr19	39083913	39111493	+	39083912	39083957
ACR	chr22	50738219	50745356	+	50738229	50738279
ACRBP	chr12	6638075	6647433	-	6643618	6643668
ACRV1	chr11	125671522	125680874	-	125680781	125680831
ACSBG1	chr15	78167468	78245688	-	78234524	78234574
ACSBG2	chr19	6135247	6193094	+	6135673	6135723
ACSF2	chr17	50426158	50474845	+	50426157	50426207
ACSF3	chr16	89088375	89164121	+	89145949	89145999
ACSL1	chr4	184755595	184826818	-	184812209	184812259
ACSL3	chr2	222860942	222944639	+	222920953	222921003
ACSL5	chr10	112374116	112428379	+	112376198	112376248
ACSL6	chr5	131949973	132012243	-	131975080	131975130
ACSM1	chr16	20623235	20698890	-	20669826	20669855
ACSM2A	chr16	20451461	20487669	+	20451610	20451660
ACSM2B	chr16	20536226	20576427	-	20576290	20576340
ACSM3	chr16	20610243	20797581	+	20610242	20610292
ACSM4	chr12	7304072	7328719	+	7310672	7310722
ACSM5	chr16	20409534	20441336	+	20421176	20421226
ACSM6	chr10	95194200	95228928	+	95194476	95194526
ACSS1	chr20	25006230	25058980	-	25058132	25058182
ACSS2	chr20	34872146	34927962	+	34922841	34922891
ACSS3	chr12	80936414	81261210	+	81151650	81151700
ACTA2	chr10	88935074	88991339	-	88991289	88991339
ACTB	chr7	5526409	5563902	-	5530554	5530604
ACTBL2	chr5	57480018	57482811	-	57482759	57482809
ACTC1	chr15	34790230	34795549	-	34792472	34792522
ACTG1	chr17	81509413	81523847	-	81512824	81512874
ACTG2	chr2	73892314	73919865	+	73892978	73893028
ACTL6A	chr3	179562886	179588407	+	179562919	179562969
ACTL6B	chr7	100643097	100656448	-	100655420	100655453
ACTL7A	chr9	108862266	108863756	+	108862265	108862315
ACTL7B	chr9	108854588	108855986	-	108856917	108856967
ACTL9	chr19	8697400	8698795	-	8698655	8698705
ACTN1	chr14	68874128	68979440	-	68979212	68979262
ACTN3	chr11	66546395	66563334	+	66546394	66546444
ACTN4	chr19	38647649	38731589	+	38728144	38728194
ACTR10	chr14	58200080	58235636	+	58223598	58223687
ACTR1A	chr10	102461881	102502712	-	102502661	102502711
ACTR1B	chr2	97655939	97664044	-	97664057	97664107
ACTR2	chr2	65227788	65271253	+	65227787	65227837
ACTR3	chr2	113890063	113962596	+	113927368	113927418
ACTR3B	chr7	152759749	152855378	+	152800622	152800655
ACTR3C	chr7	150243916	150323725	-	150295251	150295296
ACTR5	chr20	38748460	38772520	+	38748441	38748491
ACTR6	chr12	100199122	100241865	+	100199121	100199171
ACTR8	chr3	53867066	53882152	-	53882152	53882202
ACTRT3	chr3	169766921	169769561	-	169769845	169769895
ACVR1	chr2	157736251	157876330	-	157875576	157875840
ACVR1B	chr12	51951699	51997078	+	51951701	51951755
ACVR1C	chr2	157526767	157628864	-	157597510	157597560
ACVR2A	chr2	147844517	147930826	+	147845028	147845078
ACVR2B	chr3	38453890	38493142	+	38454318	38454368
ACVRL1	chr12	51906908	51923361	+	51921651	51921701
ACY1	chr3	51983340	51989197	+	51983461	51983511
ACY3	chr11	67642555	67650730	-	67647533	67647583
ACYP1	chr14	75053237	75069483	-	75063977	75064049
ACYP2	chr2	53970838	54305300	+	54115402	54115452
ADA	chr20	44619522	44652233	-	44651692	44651742
ADA2	chr22	17178790	17258235	-	17219535	17219585
ADAD1	chr4	122378966	122429802	+	122379442	122379492
ADAD2	chr16	84191138	84197168	+	84194174	84194221
ADAL	chr15	43330672	43354569	+	43330673	43330723
ADAM10	chr15	58588809	58749791	-	58749741	58749791
ADAM11	chr17	44758988	44781846	+	44769985	44770035
ADAM12	chr10	126012381	126388477	-	126388405	126388455
ADAM17	chr2	9488486	9556732	-	9555738	9555788
ADAM18	chr8	39429440	39575001	+	39685129	39685223
ADAM19	chr5	157395534	157575775	-	157575725	157575775
ADAM2	chr8	39743735	39838227	-	39838177	39838227
ADAM20	chr14	70522358	70535015	-	70534965	70535015
ADAM21	chr14	70417107	70460427	+	70452156	70452206
ADAM22	chr7	87934143	88202889	+	88163030	88163080
ADAM23	chr2	206443532	206621127	+	206443866	206443916
ADAM28	chr8	24294069	24359014	+	24346947	24346997
ADAM29	chr4	174829668	174978180	+	174918405	174918455
ADAM32	chr8	39106990	39284943	+	39220934	39220984
ADAM33	chr20	3667965	3682246	-	3673697	3673747
ADAM7	chr8	24440930	24526970	+	24440929	24440979
ADAM8	chr10	133262420	133276868	-	133271375	133271425
ADAM9	chr8	39101863	39105144	+	38996868	38997035
ADAMDEC1	chr8	24384285	24406013	+	24384504	24384554
ADAMTS1	chr21	26835755	26845409	-	26843741	26843777
ADAMTS10	chr19	8580240	8610735	-	8593466	8593516
ADAMTS12	chr5	33523535	33892019	-	33891969	33892019
ADAMTS13	chr9	133414506	133459550	+	133421999	133422049
ADAMTS14	chr10	70672506	70762441	+	70672802	70672852
ADAMTS15	chr11	130448645	130476645	+	130448973	130449023
ADAMTS16	chr5	5140330	5320304	+	5235036	5235086
ADAMTS17	chr15	99971437	100342005	-	100341955	100342005
ADAMTS18	chr16	77247813	77435034	-	77431583	77431633
ADAMTS19	chr5	129460281	129738683	+	129688099	129688149
ADAMTS2	chr5	179110853	179345461	-	179345380	179345430
ADAMTS20	chr12	43353866	43552203	-	43439662	43439712
ADAMTS3	chr4	72280969	72569221	-	72312205	72312255
ADAMTS5	chr21	26917922	26967088	-	26966463	26966513
ADAMTS6	chr5	65148738	65481920	-	65198715	65198765
ADAMTS7	chr15	78759206	78811464	-	78800494	78800544
ADAMTS8	chr11	130404923	130428609	-	130412063	130428993
ADAMTS9	chr3	64515654	64688000	-	64539202	64539217
ADAMTSL1	chr9	17906563	18910950	+	18826147	18826197
ADAMTSL2	chr9	133532164	133575519	+	133534308	133534358
ADAMTSL3	chr15	83654088	84039842	+	83870911	83870959
ADAMTSL5	chr19	1505022	1513604	-	1507372	1507422
ADAP1	chr7	897900	955407	-	955357	955407
ADAP2	chr17	30906344	30959322	+	30921916	30921984
ADARB1	chr21	45073853	45226560	+	45176409	45176459
ADARB2	chr10	1177313	1737525	-	1240480	1737476
ADAT1	chr16	75596868	75623300	-	75603084	75603134
ADAT2	chr6	143422832	143450695	-	143450623	143450673
ADAT3	chr19	1905399	1913447	+	1908018	1908068
ADCK1	chr14	77800109	77935014	+	77800082	77800132
ADCK2	chr7	140672945	140696261	+	140674483	140674533
ADCK5	chr8	144373101	144393242	+	144374041	144374091
ADCY1	chr7	45574140	45723116	+	45574884	45574934
ADCY2	chr5	7396138	7830081	+	7414663	7414713
ADCY3	chr2	24819169	24920237	-	24842542	24842592
ADCY4	chr14	24318349	24335093	-	24335043	24335093
ADCY5	chr3	123282296	123449090	-	123419159	123419209
ADCY6	chr12	48766194	48789089	-	48788987	48789037
ADCY7	chr16	50246137	50318135	+	50246136	50246186
ADCY8	chr8	130780301	131040909	-	131040283	131040333
ADCY9	chr16	3953387	4116442	-	4015632	4015682
ADCYAP1	chr18	904871	912172	+	905108	905158
ADCYAP1R1	chr7	31052308	31111479	+	31056930	31056980
ADD1	chr4	2843844	2930076	+	2914704	2914754
ADD2	chr2	70607618	70768225	-	70767665	70767715
ADD3	chr10	109996368	110135565	+	110007961	110008011
ADGB	chr6	146598967	146815462	+	146656932	146656980
ADGRA1	chr10	133087924	133131675	+	133087904	133087954
ADGRA2	chr8	37784191	37844896	+	37784190	37784240
ADGRA3	chr4	22345071	22516066	-	22516004	22516054
ADGRB1	chr8	142449430	142545009	+	142449678	142449728
ADGRB3	chr6	68635282	69390571	+	68635366	69233083
ADGRD1	chr12	130953907	131141469	+	131069212	131069262
ADGRD2	chr9	124451425	124478589	+	124468557	124468607
ADGRE1	chr19	6887566	6940459	+	6887576	6887626
ADGRE2	chr19	14732392	14778560	-	14776792	14776842
ADGRE3	chr19	14619117	14690027	-	14674948	14674998
ADGRE5	chr19	14380501	14408725	+	14396249	14396299
ADGRF1	chr6	46997708	47042350	-	47042313	47042363
ADGRF3	chr2	26308173	26346817	-	26318999	26319102
ADGRF4	chr6	47685864	47722021	+	47698552	47698602
ADGRF5	chr6	46852522	46954943	-	46888366	46888416
ADGRG1	chr16	57610652	57665580	+	57619737	57620095
ADGRG3	chr16	57668277	57689378	+	57668322	57668372
ADGRG5	chr16	57542643	57591681	+	57542654	57542701
ADGRG6	chr6	142301854	142446266	+	142301853	142301978
ADGRG7	chr3	100609601	100695479	+	100654195	100654245
ADGRL1	chr19	14148061	14206505	-	14170684	14170734
ADGRL3	chr4	61200326	62078335	+	61201257	61201307
ADGRV1	chr5	90529344	91164437	+	90672553	90672603
ADH1A	chr4	99276369	99291003	-	99290953	99291003
ADH1B	chr4	99304971	99352760	-	99321351	99321401
ADH1C	chr4	99336497	99352746	-	99352696	99352746
ADH4	chr4	99123657	99157792	-	99144247	99144297
ADH5	chr4	99070978	99088801	-	99088701	99088751
ADH6	chr4	99202638	99219537	-	99219196	99219246
ADH7	chr4	99412261	99435510	-	99430241	99430291
ADHFE1	chr8	66432492	66468907	+	66432485	66432535
ADI1	chr2	3497366	3519531	-	3517697	3517747
ADIG	chr20	38581195	38588463	+	38581205	38581255
ADIPOQ	chr3	186842704	186858463	+	186842689	186842739
ADIPOR2	chr12	1688574	1788674	+	1688573	1688623
ADIRF	chr10	86968432	86983934	+	86968489	86968539
ADK	chr10	74151202	74709963	+	74151184	74151278
ADM	chr11	10305073	10307397	+	10305072	10305122
ADM2	chr22	50481543	50486440	+	50481555	50481605
ADM5	chr19	49689594	49690575	+	49688663	49688713
ADNP	chr20	50888916	50931437	-	50931190	50931240
ADNP2	chr18	80109262	80147523	+	80109292	80109342
ADO	chr10	62804720	62808479	+	62804856	62804906
ADORA2A	chr22	24417879	24442357	+	24423596	24423628
ADORA2B	chr17	15945130	15975746	+	15944916	15944966
ADPGK	chr15	72751294	72785846	-	72756250	72756267
ADPRH	chr3	119579268	119589945	+	119582064	119582114
ADPRHL1	chr13	113399611	113453488	-	113453474	113453524
ADPRM	chr17	10697594	10711558	+	10697615	10697665
ADRA1A	chr8	26748150	26867278	-	26865119	26865169
ADRA1B	chr5	159865080	159973012	+	159916782	159916832
ADRA1D	chr20	4220630	4249287	-	4222331	4222381
ADRA2A	chr10	111077029	111080907	+	111077162	111077212
ADRA2B	chr2	96112876	96116571	-	96116195	96116245
ADRA2C	chr4	3766348	3768526	+	3766347	3766447
ADRB1	chr10	114043866	114046904	+	114044055	114044105
ADRB2	chr5	148826611	148828623	+	148825244	148825294
ADRB3	chr8	37962990	37966599	-	37966616	37966666
ADRM1	chr20	62302093	62308862	+	62304158	62304208
ADSL	chr22	40346461	40390463	+	40346499	40346552
ADSS1	chr14	104724229	104747325	+	104737142	104737192
ADTRP	chr6	11712054	11807046	-	11766282	11766332
AEBP1	chr7	44104345	44114562	+	44108930	44108976
AEBP2	chr12	19404045	19720801	+	19439673	19439723
AEN	chr15	88621337	88632281	+	88621336	88621382
AFAP1	chr4	7758714	7939926	-	7872032	7872082
AFAP1L1	chr5	149271859	149343637	+	149271870	149271968
AFAP1L2	chr10	114294824	114404756	-	114404706	114404756
AFDN	chr6	167826911	167972023	+	167915400	167915433
AFF1	chr4	86935002	87141039	+	86936409	86936459
AFF3	chr2	99545419	100192428	-	100007901	100007951
AFF4	chr5	132875395	132963634	-	132934181	132934238
AFG1L	chr6	108294991	108526796	+	108476978	108477028
AFG3L2	chr18	12328944	12377227	-	12377264	12377314
AFM	chr4	73481745	73504001	+	73495114	73495164
AFMID	chr17	78187358	78207702	+	78187357	78187407
AFP	chr4	73431138	73456174	+	73436246	73436296
AFTPH	chr2	64524305	64593005	+	64524304	64524354
AGA	chr4	177430774	177442437	-	177442359	177442409
AGAP1	chr2	235494043	236131800	+	236040750	236040800
AGAP2	chr12	57723761	57742157	-	57742107	57742157
AGAP3	chr7	151085831	151144436	+	151120070	151120120
AGAP4	chr10	45825594	45853875	-	45847423	45847473
AGAP5	chr10	73674287	73698109	-	73698109	73698159
AGAP6	chr10	49982190	50011654	+	49988317	49988367
AGAP9	chr10	47501854	47523638	-	47523588	47523638
AGBL1	chr15	86079871	87049169	+	86914442	86914492
AGBL2	chr11	47664132	47719930	-	47715332	47715389
AGBL3	chr7	134986508	135147963	+	134986507	134986557
AGBL5	chr2	27042364	27070622	+	27051645	27051695
AGER	chr6	32220356	32223712	-	32184185	32184235
AGFG1	chr2	227472152	227561217	+	227510720	227510770
AGFG2	chr7	100539203	100568220	+	100555666	100555716
AGGF1	chr5	77029251	77065234	+	77030384	77030434
AGK	chr7	141551278	141655244	+	141551394	141551434
AGMO	chr7	15200317	15562015	-	15366139	15366187
AGO2	chr8	140520156	140635633	-	140532656	140532706
AGPAT1	chr6	32168212	32178096	-	32173065	32173115
AGPAT2	chr9	136673143	136687457	-	136677330	136677380
AGPAT3	chr21	43865223	43987592	+	43903890	43903940
AGPAT4	chr6	161129967	161274061	-	161273982	161274061
AGPAT5	chr8	6708642	6761503	+	6745754	6745804
AGPS	chr2	177392746	177567024	+	177392767	177392817
AGR2	chr7	16791811	16833433	-	16804952	16804987
AGR3	chr7	16859412	16881987	-	16881943	16881981
AGRP	chr16	67482571	67483547	-	67483763	67483813
AGTPBP1	chr9	85546539	85742029	-	85741979	85742029
AGTR1	chr3	148697784	148743008	+	148730123	148730173
AGXT	chr2	240868824	240880502	+	240868845	240868895
AGXT2	chr5	34998101	35048135	-	35026345	35026395
AHCY	chr20	34280268	34311802	-	34302625	34302675
AHCYL2	chr7	129225030	129430211	+	129424726	129424776
AHI1	chr6	135283407	135498434	-	135497715	135497765
AHNAK	chr11	62433542	62556235	-	62546785	62546835
AHNAK2	chr14	104937244	104978374	-	104955352	104955402
AHR	chr7	16916359	17346152	+	17335644	17335694
AHRR	chr5	321714	438291	+	427917	427967
AHSA1	chr14	77457870	77469472	+	77459668	77459718
AHSG	chr3	186613060	186621318	+	186613084	186613134
AHSP	chr16	31527900	31528803	+	31527863	31527931
AICDA	chr12	8602170	8612867	-	8606966	8607016
AIF1	chr6	31615217	31617021	+	31615279	31615329
AIF1L	chr9	131096476	131123152	+	131096475	131096525
AIFM2	chr10	70098223	70132934	-	70132884	70132934
AIFM3	chr22	20965108	20981360	+	20967247	20967297
AIG1	chr6	143060496	143341058	+	143060495	143060545
AIMP1	chr4	106315544	106349456	+	106316506	106316556
AIMP2	chr7	6009255	6023834	+	6009254	6009304
AIP	chr11	67468174	67491154	+	67483040	67483090
AIPL1	chr17	6393693	6435199	-	6435102	6435185
AIRE	chr21	44285838	44298648	+	44285845	44285895
AJM1	chr9	136842478	136848801	+	136844414	136844464
AJUBA	chr14	22971177	22982551	-	22975245	22975295
AK1	chr9	127866486	127877675	-	127873494	127873544
AK3	chr9	4709556	4742043	-	4741177	4741227
AK6	chr5	69350984	69370013	-	69369492	69369542
AK7	chr14	96392128	96489427	+	96392110	96392160
AK8	chr9	132725578	132878777	-	132727548	132727598
AK9	chr6	109492855	109691217	-	109550487	109550537
AKAIN1	chr18	5142911	5197503	-	5197453	5197503
AKAP1	chr17	57085092	57121346	+	57085713	57085763
AKAP10	chr17	19904302	19978343	-	19931816	19931866
AKAP11	chr13	42272152	42323261	+	42272152	42272202
AKAP12	chr6	151239967	151358559	+	151325687	151325737
AKAP13	chr15	85380571	85749358	+	85544039	85544089
AKAP3	chr12	4615508	4649051	-	4645150	4645200
AKAP5	chr14	64465499	64474503	+	64467106	64467156
AKAP6	chr14	32329298	32837684	+	32693400	32693450
AKAP7	chr6	131135467	131283535	+	131160174	131160198
AKAP8	chr19	15353385	15379815	-	15379748	15379798
AKAP8L	chr19	15380050	15419141	-	15419004	15419054
AKAP9	chr7	91940840	92110673	+	91940866	91940916
AKIP1	chr11	8911139	8920084	+	8911287	8911337
AKIRIN2	chr6	87674860	87702233	-	87701475	87701525
AKNA	chr9	114334156	114394405	-	114358287	114358337
AKR1B1	chr7	134442356	134459284	-	134459202	134459252
AKR1B10	chr7	134527567	134541412	+	134527591	134527641
AKR1B15	chr7	134549110	134579875	+	134549135	134564837
AKR1C1	chr10	4963253	4983283	+	4963444	4963494
AKR1C2	chr10	4987775	5018031	-	5017905	5017955
AKR1C3	chr10	5035354	5107686	+	5048788	5048838
AKR1C4	chr10	5195462	5218949	+	5196834	5196884
AKR1D1	chr7	138002324	138118305	+	138091842	138091884
AKR1E2	chr10	4786629	4848062	+	4826254	4826304
AKT1	chr14	104769349	104795751	-	104778521	104778571
AKT1S1	chr19	49869033	49878459	-	49873750	49873800
AKT2	chr19	40230317	40285536	-	40285323	40285373
AKTIP	chr16	53491040	53504411	-	53503194	53503244
ALAD	chr9	113386312	113401290	-	113401240	113401290
ALAS1	chr3	52198086	52214327	+	52206631	52206681
ALB	chr4	73397114	73421482	+	73404254	73404336
ALCAM	chr3	105366909	105576900	+	105544601	105544651
ALDH16A1	chr19	49453225	49471050	+	49468292	49468342
ALDH18A1	chr10	95605941	95656711	-	95656656	95656706
ALDH1A1	chr9	72900671	73080442	-	73038672	73038722
ALDH1A2	chr15	57953424	58497866	-	58038532	58038582
ALDH1A3	chr15	100877714	100916626	+	100879838	100879924
ALDH1B1	chr9	38392702	38398661	+	38392711	38392761
ALDH1L1	chr3	126103562	126197994	-	126115452	126115502
ALDH1L2	chr12	105019784	105107643	-	105031885	105084577
ALDH2	chr12	111766887	111817532	+	111812792	111812842
ALDH3A1	chr17	19737984	19748943	-	19748258	19748298
ALDH3A2	chr17	19648136	19685760	+	19648145	19648195
ALDH3B1	chr11	68008578	68029282	+	68008577	68008627
ALDH3B2	chr11	67662160	67681224	-	67673741	67673791
ALDH5A1	chr6	24494867	24537207	+	24532009	24532059
ALDH6A1	chr14	74056847	74084492	-	74084399	74084449
ALDH7A1	chr5	126531200	126595362	-	126595169	126595219
ALDH8A1	chr6	134917393	134950115	-	134944185	134944235
ALDOA	chr16	30064164	30070457	+	30069577	30069627
ALDOB	chr9	101420560	101449664	-	101435724	101435823
ALDOC	chr17	28573115	28576948	-	28575864	28575914
ALG1	chr16	5033702	5087379	+	5071821	5071871
ALG10	chr12	34022468	34029694	+	34022472	34022522
ALG10B	chr12	38316762	38329721	+	38316761	38316811
ALG11	chr13	52012391	52079232	+	52012397	52012447
ALG12	chr22	49900229	49918438	-	49907868	49907918
ALG1L2	chr3	130081831	130113227	+	130081830	130081880
ALG2	chr9	99216425	99221942	-	99221906	99221956
ALG3	chr3	184242301	184249548	-	184248921	184248971
ALG5	chr13	36949738	37000763	-	36999317	36999367
ALG8	chr11	78095244	78139660	-	78139599	78139649
ALG9	chr11	111782195	111871581	-	111868686	111868736
ALK	chr2	29192774	29921586	-	29717650	29717700
ALKAL1	chr8	52534037	52565430	-	52565457	52565507
ALKAL2	chr2	279558	288851	-	287273	287323
ALKBH1	chr14	77672404	77708023	-	77707970	77708020
ALKBH2	chr12	109088188	109093631	-	109093438	109093488
