feature	mean	std	min	max	missing_rate	spearman_corr_with_gex	corr_pvalue
H3K4me3_promoter_body_delta_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.48637	0.00000
H3K36me3_gene_z_std_rank	0.50003	0.28867	0.00329	1.00000	0.00000	0.47961	0.00000
H3K36me3_gene_z_std	1.20363	1.10485	0.00000	10.62187	0.00000	0.47961	0.00000
H3K36me3_gene_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.47335	0.00000
H3K36me3_gene_z_mean	0.48517	1.07096	-0.44945	13.09409	0.00000	0.47335	0.00000
DNase_H3K27ac_interaction	0.16497	0.50161	-0.08352	8.32976	0.00000	0.47104	0.00000
DNase_H3K27ac_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.47104	0.00000
activation_balance_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.46926	0.00000
balance_H3K27_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.46926	0.00000
activation_balance	0.59281	3.80754	-45.00604	40.18022	0.00000	0.46926	0.00000
balance_H3K27	0.59281	3.80754	-45.00604	40.18022	0.00000	0.46926	0.00000
H3K27ac_H3K9me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.46306	0.00000
H3K27ac_H3K4me3_interaction	8.90151	25.41931	-1.89242	493.34605	0.00000	0.46088	0.00000
H3K27ac_H3K4me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.46088	0.00000
H3K4me3_gene_z_mean	0.56505	1.38967	-0.09432	20.06652	0.00000	0.45332	0.00000
H3K4me3_gene_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.45332	0.00000
H3K27ac_promoter_body_delta_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.43051	0.00000
H3K27ac_promoter_body_delta	0.91117	2.43090	-17.50940	39.14055	0.00000	0.43051	0.00000
H3K4me3_ratio_std_rank	0.50003	0.28867	0.01234	1.00000	0.00000	0.40987	0.00000
H3K4me3_ratio_std	6.01696	198.16833	0.00000	23123.82666	0.00000	0.40987	0.00000
H3K27ac_gene_z_std_rank	0.50003	0.28868	0.00144	1.00000	0.00000	0.40890	0.00000
H3K27ac_gene_z_std	1.06648	1.42643	0.00000	21.55436	0.00000	0.40890	0.00000
DNase_H3K27me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.39773	0.00000
H3K27ac_ratio_std_rank	0.50003	0.28867	0.00924	1.00000	0.00000	0.39351	0.00000
H3K27ac_ratio_std	9678.96327	487606.93002	0.00000	35516784.41849	0.00000	0.39351	0.00000
H3K4me3_H3K27me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.38406	0.00000
H3K4me3_ratio_mean	13.18768	1724.57847	-135373.36191	109675.97094	0.00000	0.37337	0.00000
H3K4me3_ratio_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.37337	0.00000
H3K27ac_gene_z_mean	0.19293	0.84885	-0.18819	23.07481	0.00000	0.36249	0.00000
H3K27ac_gene_z_mean_rank	0.50003	0.28868	0.00021	1.00000	0.00000	0.36249	0.00000
H3K27ac_H3K27me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.32267	0.00000
H3K36me3_axis_sum	0.51303	1.74067	-0.86234	31.61555	0.00000	0.31964	0.00000
H3K36me3_axis_sum_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.31964	0.00000
H3K36me3_H3K9me3_interaction	0.05316	1.90792	-5.05361	224.79263	0.00000	0.31552	0.00000
H3K9me3_tss_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.30583	0.00000
repression_index_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.30209	0.00000
H3K4me1_tss_z_std	1.09504	1.05880	0.00000	10.27254	0.00000	0.28573	0.00000
H3K4me1_tss_z_std_rank	0.50003	0.28867	0.01115	1.00000	0.00000	0.28573	0.00000
H3K27me3_H3K36me3_interaction	-0.17295	0.83526	-16.18649	4.77567	0.00000	0.27799	0.00000
H3K4me3_H3K4me1_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.27373	0.00000
H3K4me3_H3K4me1_interaction	1.82970	4.20305	-9.49441	68.76842	0.00000	0.27373	0.00000
H3K27me3_gene_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.27206	0.00000
H3K27me3_H3K9me3_interaction	-0.05946	0.89083	-9.18227	55.15098	0.00000	0.25298	0.00000
H3K27me3_axis_sum_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.24075	0.00000
DNase_H3K4me1_interaction	0.06375	0.15321	-0.31137	2.12880	0.00000	0.23598	0.00000
DNase_H3K4me1_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.23598	0.00000
H3K9me3_axis_sum_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.23106	0.00000
DNase_gene_z_std_rank	0.50003	0.28868	0.00040	1.00000	0.00000	0.23103	0.00000
DNase_gene_z_std	0.03315	0.04096	0.00000	2.25321	0.00000	0.23103	0.00000
H3K4me1_tss_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.22926	0.00000
H3K4me1_tss_z_mean	0.62848	1.20767	-0.53398	18.00584	0.00000	0.22926	0.00000
H3K9me3_tss_z_std_rank	0.50003	0.28867	0.00006	0.99963	0.00000	0.22847	0.00000
H3K27ac_H3K4me1_interaction	0.81306	4.12403	-7.28675	190.42230	0.00000	0.22113	0.00000
H3K27ac_H3K4me1_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.22113	0.00000
H3K27me3_tss_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.21442	0.00000
H3K4me1_axis_sum	0.92988	1.63939	-0.80237	22.78168	0.00000	0.20934	0.00000
H3K4me1_axis_sum_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.20934	0.00000
H3K9me3_promoter_body_delta_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.20900	0.00000
H3K27me3_gene_z_std_rank	0.50003	0.28867	0.00006	0.99377	0.00000	0.20009	0.00000
H3K27me3_H3K4me1_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.19235	0.00000
H3K4me1_H3K9me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.18663	0.00000
H3K9me3_ratio_mean	0.72474	87.07975	-6157.60799	5374.85704	0.00000	0.17103	0.00000
H3K9me3_ratio_std_rank	0.50003	0.28867	0.00006	0.99291	0.00000	0.17013	0.00000
H3K4me1_promoter_body_delta_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.16900	0.00000
H3K4me1_promoter_body_delta	0.32708	1.11800	-10.74635	13.23000	0.00000	0.16900	0.00000
H3K27ac_ratio_mean	7.32787	1798.95247	-60231.87971	214492.60665	0.00000	0.13970	0.00000
H3K27ac_ratio_mean_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.13970	0.00000
H3K27me3_ratio_std	1.26895	4.16619	0.00000	234.07742	0.00000	0.13835	0.00000
DNase_ratio_mean_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.12939	0.00000
DNase_ratio_mean	1.44581	1010.50966	-51940.93563	79104.56545	0.00000	0.12939	0.00000
H3K4me1_gene_z_std_rank	0.50003	0.28868	0.00181	1.00000	0.00000	0.12049	0.00000
H3K4me1_gene_z_std	1.15317	0.83943	0.00000	8.82795	0.00000	0.12049	0.00000
DNase_gene_z_mean_rank	0.50003	0.28868	0.00279	1.00000	0.00000	0.11149	0.00000
DNase_gene_z_mean	0.01297	0.02781	-0.00491	0.43780	0.00000	0.11149	0.00000
H3K9me3_gene_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.08803	0.00000
H3K4me1_gene_z_mean_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.07399	0.00000
H3K4me1_gene_z_mean	0.30140	0.71434	-0.47628	12.73229	0.00000	0.07399	0.00000
tss_length	48.97372	4.72737	3.00000	50.00000	0.00000	0.05197	0.00000
tss_length_rank	0.50003	0.12436	0.00009	0.53310	0.00000	0.05197	0.00000
H3K9me3_gene_z_std_rank	0.50003	0.28868	0.00006	0.99880	0.00000	0.04814	0.00000
gene_length	70685.26308	135833.19334	75.00000	2473538.00000	0.00000	0.03893	0.00000
gene_length_rank	0.50003	0.28868	0.00006	1.00000	0.00000	0.03893	0.00000
H3K27me3_ratio_mean	2.13004	144.53798	-7356.84815	10508.80755	0.00000	0.03241	0.00004
gene_start	68692458.57547	51066670.72271	14475.00000	241893989.00000	0.00000	0.01814	0.02065
TSS_end	68727558.11453	51071474.24365	29739.00000	241899138.00000	0.00000	0.01804	0.02135
TSS_start	68727509.14081	51071474.19809	29689.00000	241899114.00000	0.00000	0.01804	0.02135
gene_end	68763143.83855	51076786.54537	46870.00000	241902551.00000	0.00000	0.01801	0.02154
H3K27me3_tss_z_std_rank	0.50003	0.28867	0.00006	0.98437	0.00000	0.01552	0.04760
strand_is_plus	0.50442	0.49998	0.00000	1.00000	0.00000	0.00825	0.29250
strand_is_plus_rank	0.50003	0.24999	0.24782	0.74782	0.00000	0.00825	0.29250
H3K27me3_promoter_body_delta_rank	0.50003	0.28867	0.00006	1.00000	0.00000	0.00213	0.78554
H3K27me3_promoter_body_delta	0.15077	1.96282	-29.30661	43.81650	0.00000	-0.00213	0.78554
strand_is_minus	0.49558	0.49998	0.00000	1.00000	0.00000	-0.00825	0.29250
strand_is_minus_rank	0.50003	0.24999	0.25224	0.75224	0.00000	-0.00825	0.29250
H3K27me3_tss_z_std	0.39440	1.24917	0.00000	15.92840	0.00000	-0.01552	0.04760
H3K27me3_ratio_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.03241	0.00004
H3K9me3_gene_z_std	0.60682	0.76947	0.00000	13.95754	0.00000	-0.04814	0.00000
H3K9me3_gene_z_mean	-0.00635	0.69917	-0.41331	15.23913	0.00000	-0.08803	0.00000
H3K27me3_ratio_std_rank	0.50003	0.28867	0.00006	0.98305	0.00000	-0.13835	0.00000
H3K36me3_tss_z_std	0.45982	0.68320	0.00000	8.94182	0.00000	-0.14146	0.00000
H3K36me3_tss_z_std_rank	0.50003	0.28867	0.00034	1.00000	0.00000	-0.14146	0.00000
H3K9me3_ratio_std	0.67231	3.15071	0.00000	243.32249	0.00000	-0.17013	0.00000
H3K9me3_ratio_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.17103	0.00000
H3K36me3_H3K4me1_interaction	-0.11583	0.88562	-5.78794	45.67104	0.00000	-0.17968	0.00000
H3K36me3_H3K4me1_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.17968	0.00000
promoter_entropy	-8.85508	318.30745	-25735.93550	1.64589	0.00000	-0.18355	0.00000
promoter_entropy_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.18355	0.00000
H3K4me1_H3K9me3_interaction	-0.15320	0.37104	-5.43592	6.27962	0.00000	-0.18663	0.00000
H3K27me3_H3K4me1_interaction	1.15670	7.79064	-6.01628	236.14303	0.00000	-0.19235	0.00000
H3K27me3_gene_z_std	0.50836	1.53986	0.00000	16.72612	0.00000	-0.20009	0.00000
H3K9me3_promoter_body_delta	-0.12749	0.65688	-14.84980	23.35370	0.00000	-0.20900	0.00000
H3K27me3_tss_z_mean	0.51129	2.54049	-0.12640	44.84542	0.00000	-0.21442	0.00000
H3K9me3_tss_z_std	0.29634	0.45898	0.00000	10.80121	0.00000	-0.22847	0.00000
H3K9me3_axis_sum	-0.14019	1.14587	-0.82622	27.77505	0.00000	-0.23106	0.00000
H3K27me3_axis_sum	0.87181	4.52653	-0.23293	72.08309	0.00000	-0.24075	0.00000
H3K27me3_H3K9me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.25298	0.00000
H3K27me3_gene_z_mean	0.36052	2.39101	-0.12069	35.78410	0.00000	-0.27206	0.00000
H3K27me3_H3K36me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.27799	0.00000
H3K36me3_ratio_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.30149	0.00000
H3K36me3_ratio_mean	5.06937	613.21382	-3716.82029	77993.58878	0.00000	-0.30149	0.00000
repression_index	0.18872	1.30915	-0.26981	22.52440	0.00000	-0.30209	0.00000
H3K9me3_tss_z_mean	-0.13384	0.61921	-0.41571	25.56438	0.00000	-0.30583	0.00000
H3K36me3_H3K9me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.31552	0.00000
H3K27ac_H3K27me3_interaction	-0.13903	0.48062	-7.20284	9.20748	0.00000	-0.32267	0.00000
H3K36me3_tss_z_mean_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.32744	0.00000
H3K36me3_tss_z_mean	0.02787	1.03248	-0.48458	18.52147	0.00000	-0.32744	0.00000
H3K4me3_H3K27me3_interaction	1.01737	5.97479	-2.83163	139.21749	0.00000	-0.38406	0.00000
DNase_H3K27me3_interaction	0.04713	0.24523	-0.08082	4.57058	0.00000	-0.39773	0.00000
H3K36me3_ratio_std	14537.93792	480108.25711	0.00000	32396833.88531	0.00000	-0.39998	0.00000
H3K36me3_ratio_std_rank	0.50003	0.28868	0.00350	1.00000	0.00000	-0.39998	0.00000
H3K27ac_H3K36me3_interaction	-0.33245	0.98302	-13.18714	26.76493	0.00000	-0.45394	0.00000
H3K27ac_H3K36me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.45394	0.00000
H3K27ac_H3K9me3_interaction	-0.34716	0.90203	-11.18461	10.48333	0.00000	-0.46306	0.00000
DNase_H3K36me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.49418	0.00000
DNase_H3K36me3_interaction	-0.01926	0.03793	-0.30754	0.67601	0.00000	-0.49418	0.00000
DNase_H3K9me3_interaction	-0.01879	0.04029	-0.34884	0.93210	0.00000	-0.50375	0.00000
H3K4me3_H3K36me3_interaction_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.54019	0.00000
H3K4me3_H3K36me3_interaction	-0.81645	1.57344	-8.50479	49.73092	0.00000	-0.54019	0.00000
H3K4me3_H3K9me3_interaction	-0.78794	1.37608	-6.97588	38.56847	0.00000	-0.54024	0.00000
H3K36me3_promoter_body_delta	-0.45730	1.18153	-12.94469	10.87618	0.00000	-0.56849	0.00000
H3K36me3_promoter_body_delta_rank	0.50003	0.28867	0.00006	1.00000	0.00000	-0.56849	0.00000
